gene_i,gene_j,P_i,P_j,P_ij,P_i_given_j,P_j_given_i,PMI,NPMI
ACE,ERBB2,0.0005555748463488316,0.0022222993853953264,0.0,0.0,0.0,,
ACE,EREG,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,ETV5,0.0005555748463488316,0.0001388937115872079,0.0,0.0,0.0,,
ACE,F3,0.0005555748463488316,0.004965450189242682,0.0,0.0,0.0,,
ACE,FABP4,0.0005555748463488316,0.0005555748463488316,0.0,0.0,0.0,,
ACE,FAP,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,FCGR2B,0.0005555748463488316,0.0003819577068648217,0.0,0.0,0.0,,
ACE,FCMR,0.0005555748463488316,0.0001388937115872079,0.0,0.0,0.0,,
ACE,FDCSP,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,FGFR4,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,FOS,0.0005555748463488316,0.20552796972117088,0.00010417028369040591,0.0005068423720223011,0.18749999999999997,-0.09180328496341185,-0.010011827101850859
ACE,FOXA1,0.0005555748463488316,0.0001388937115872079,0.0,0.0,0.0,,
ACE,FOXA2,0.0005555748463488316,0.0004861279905552276,0.0,0.0,0.0,,
ACE,FOXP3,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,FRY,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,FRZB,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,FSCN1,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,FURIN,0.0005555748463488316,0.0002430639952776138,0.0,0.0,0.0,,
ACE,GATA2,0.0005555748463488316,0.0018750651064273064,0.0,0.0,0.0,,
ACE,GATA3,0.0005555748463488316,0.0002777874231744158,0.0,0.0,0.0,,
ACE,GIMAP7,0.0005555748463488316,0.0005902982742456335,0.0,0.0,0.0,,
ACE,GJA5,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,GPR171,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,GPR34,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,GSR,0.0005555748463488316,0.0002430639952776138,0.0,0.0,0.0,,
ACE,GZMA,0.0005555748463488316,0.00031251085107121773,0.0,0.0,0.0,,
ACE,GZMB,0.0005555748463488316,0.00020834056738081182,0.0,0.0,0.0,,
ACE,HLA-A,0.0005555748463488316,0.009965623806382166,6.944685579360395e-05,0.006968641114982579,0.125,2.5291721858595277,0.26414472270617406
ACE,HLA-DPB1,0.0005555748463488316,0.003750130212854613,0.0,0.0,0.0,,
ACE,HMGA1,0.0005555748463488316,0.00020834056738081182,0.0,0.0,0.0,,
ACE,HOPX,0.0005555748463488316,0.006632174728289177,0.0,0.0,0.0,,
ACE,HSD17B11,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,HYOU1,0.0005555748463488316,0.001215319976388069,0.0,0.0,0.0,,
ACE,ICAM1,0.0005555748463488316,0.021771589291294836,0.0,0.0,0.0,,
ACE,IGFBP3,0.0005555748463488316,0.0001388937115872079,0.0,0.0,0.0,,
ACE,IL1B,0.0005555748463488316,0.0003472342789680197,0.0,0.0,0.0,,
ACE,IL2RA,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,IL2RG,0.0005555748463488316,0.0002777874231744158,0.0,0.0,0.0,,
ACE,IL6,0.0005555748463488316,0.0032987256501961874,0.0,0.0,0.0,,
ACE,ISG20,0.0005555748463488316,0.00020834056738081182,0.0,0.0,0.0,,
ACE,ITGAE,0.0005555748463488316,0.0002777874231744158,0.0,0.0,0.0,,
ACE,ITGAM,0.0005555748463488316,0.00020834056738081182,0.0,0.0,0.0,,
ACE,ITGAX,0.0005555748463488316,0.0022917462411889303,0.0,0.0,0.0,,
ACE,ITGBL1,0.0005555748463488316,0.02777874231744158,3.4723427896801975e-05,0.00125,0.0625,0.8108954933912763,0.07897233312476702
ACE,JUND,0.0005555748463488316,0.009444772387930137,0.0,0.0,0.0,,
ACE,KCNK3,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,KDR,0.0005555748463488316,0.00031251085107121773,0.0,0.0,0.0,,
ACE,KIT,0.0005555748463488316,0.0021875759574985242,0.0,0.0,0.0,,
ACE,KLF5,0.0005555748463488316,0.0006944685579360394,0.0,0.0,0.0,,
ACE,KLK11,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,KRT14,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,KRT8,0.0005555748463488316,0.008680856974200494,0.0,0.0,0.0,,
ACE,KRT81,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,LAG3,0.0005555748463488316,0.0001388937115872079,0.0,0.0,0.0,,
ACE,LAMC3,0.0005555748463488316,0.0004861279905552276,0.0,0.0,0.0,,
ACE,LAMP3,0.0005555748463488316,0.0008680856974200493,0.0,0.0,0.0,,
ACE,LAT,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,LCK,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
